Year;"NCM Code";"NCM Description";Country;State;"Economic Block";Via;URF;"US$ FOB";"Net Weight";Quantity
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Guyana;Amazonas;"South America";RODOVIARIA;"0260152 - BONFIM";2728;1224;1357
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Panama;Paraná;"Central America and Caribbean";MARITIMA;"0917800 - PORTO DE PARANAGUA";2623;936;898
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Guyana;Roraima;"South America";RODOVIARIA;"0260152 - BONFIM";2428;685;689
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";France;"Rio Grande do Sul";"European Union (EU)";AEREA;"0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS";2378;226;226
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";France;"Rio Grande do Sul";Europe;AEREA;"0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS";2378;226;226
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"São Paulo";"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"0817800 - PORTO DE SANTOS";2361;879;531
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"São Paulo";"Asia (minus MIDDLE EAST)";MARITIMA;"0817800 - PORTO DE SANTOS";2361;879;531
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"Rio Grande do Sul";"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"0817800 - PORTO DE SANTOS";2340;585;585
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"Rio Grande do Sul";"Asia (minus MIDDLE EAST)";MARITIMA;"0817800 - PORTO DE SANTOS";2340;585;585
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Norway;"São Paulo";Europe;MARITIMA;"0817800 - PORTO DE SANTOS";2264;475;416
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Togo;"São Paulo";"Africa (minus MIDDLE EAST)";MARITIMA;"0817800 - PORTO DE SANTOS";2012;1890;1890
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Hong Kong";"Espírito Santo";"Asia (minus MIDDLE EAST)";MARITIMA;"0727600 - PORTO DE VITORIA";1983;457;446
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Hong Kong";Paraná;"Asia (minus MIDDLE EAST)";MARITIMA;"0917800 - PORTO DE PARANAGUA";1873;599;599
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"Espírito Santo";"Asia (minus MIDDLE EAST)";MARITIMA;"0727600 - PORTO DE VITORIA";1862;313;262
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"Espírito Santo";"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"0727600 - PORTO DE VITORIA";1862;313;262
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";China;"Espírito Santo";"Asia (minus MIDDLE EAST)";MARITIMA;"0727600 - PORTO DE VITORIA";1837;331;320
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Hong Kong";"São Paulo";"Asia (minus MIDDLE EAST)";"EM MAOS";"0817800 - PORTO DE SANTOS";1722;476;358
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Bolivia;"São Paulo";"South America";RODOVIARIA;"0147600 - ALF - CORUMBÁ";1680;1080;1080
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Bolivia;"São Paulo";"Andean Community";RODOVIARIA;"0147600 - ALF - CORUMBÁ";1680;1080;1080
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"United Kingdom";"Minas Gerais";Europe;MARITIMA;"0717600 - PORTO DO RIO DE JANEIRO";1661;600;600
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Malta;"São Paulo";Europe;"EM MAOS";"0817800 - PORTO DE SANTOS";1589;404;300
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Malta;"São Paulo";"European Union (EU)";"EM MAOS";"0817800 - PORTO DE SANTOS";1589;404;300
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Panama;"Santa Catarina";"Central America and Caribbean";MARITIMA;"0927700 - PORTO DE SAO FRANCISCO DO SUL";1540;672;790
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"Espírito Santo";"Africa (minus MIDDLE EAST)";MARITIMA;"0727600 - PORTO DE VITORIA";1505;431;395
